trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
41,4,323.86091446876526,00:05:23,81767,1224,0.006177957635372877,0.007138140965253115,2.733697592706136,1,0.0012790389003517456,164,1242,237,237
42,4,371.7652451992035,00:06:11,84702,844,0.00801368709653616,0.007774204947054386,3.037486030388089,1,0.002381043953584301,135,1266,242,242
43,4,382.54829001426697,00:06:22,78117,1361,0.006212499458342791,0.0069135017693042755,2.8128150853072924,1,0.0007911110934922378,163,1440,227,236
44,4,352.226398229599,00:05:52,89327,1186,0.006527313496917486,0.007355060428380966,3.1244279215646973,1,0.0018004443524494214,161,1345,246,255
45,4,422.3769361972809,00:07:02,68448,1446,0.006196397356688976,0.007031927816569805,2.87371750084639,1,0.0006931017494967151,143,1483,206,224
46,4,222.6270716190338,00:03:42,109249,884,0.0059678019024431705,0.007246468681842089,3.0054522096521112,2,0.0011596405255585047,197,907,235,205,174
47,4,340.41958379745483,00:05:40,167669,1177,0.005985851865261793,0.007061322685331106,2.78058833536822,4,0.0002092358885363862,170,1184,156,246,195,141,256
48,4,556.5150279998779,00:09:16,65741,1370,0.006612598430365324,0.007448751479387283,2.7852047528363073,1,0.00036652495053371686,88,1386,215,198
49,4,281.41698002815247,00:04:41,55493,1252,0.007057945244014263,0.007902468554675579,2.876760905754348,2,0.0005251702032040361,251,1268,117,177,124
50,4,487.82233476638794,00:08:07,138566,1318,0.006017964333295822,0.007514494936913252,2.868260023201545,4,0.002507212472359787,130,1451,184,233,238,49,168
51,4,302.4118604660034,00:05:02,79655,1146,0.006239287555217743,0.007293331902474165,3.2752410716019895,1,0.001354197580493107,178,1215,235,231
52,4,294.30494451522827,00:04:54,81587,1048,0.006799337454140186,0.0074881091713905334,2.9402417224923547,1,0.0013793002372434616,173,1155,249,220
53,4,343.8937690258026,00:05:43,81634,1170,0.006339436862617731,0.007154484279453754,2.851995741847782,1,0.0009501928332646318,145,1234,224,256
54,4,345.493221282959,00:05:45,83576,1180,0.0060159494169056416,0.0071282172575592995,2.749155440873571,1,0.0006935273775542286,159,1307,236,246
55,4,284.3933491706848,00:04:44,97058,952,0.006628372240811586,0.007575550582259893,2.882976812196759,3,0.0014033319979666942,181,1051,247,56,223,197
56,4,466.71997332572937,00:07:46,27092,1370,0.007533676456660032,0.008283979259431362,3.0664081752066705,1,0.0011174248918900604,115,1404,84,210
57,4,342.8592014312744,00:05:42,159023,1238,0.006187762599438429,0.007269886787980795,2.780284871236132,3,0.00016467558655751255,201,1344,256,231,152,242
58,4,365.44310188293457,00:06:05,61217,1250,0.007816088385879993,0.008945289067924023,3.0462027161007734,1,0.00012975410971606405,142,1274,207,188
59,4,415.1051905155182,00:06:55,126070,1300,0.005745071917772293,0.0072540356777608395,3.155763949033008,4,0.0017628714857505624,168,1440,226,118,179,184,113
60,4,73.14457631111145,00:01:13,114440,195,0.009748086333274841,0.009603285230696201,3.554376554863378,3,0.0002775167329575355,155,215,235,246,93,91
