trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3
18,10,524.7140035629272,00:08:44,135991,778,0.015971004962921143,0.014808041043579578,5.207353660495351,4,0.009039347152689482,66,897,226,160,219,103,170
19,10,195.1099054813385,00:03:15,145683,476,0.007391669321805239,0.008062838576734066,3.3630634243243076,4,0.0005047761876945855,112,492,150,250,129,195,174
20,10,580.7356882095337,00:09:40,103760,1044,0.005873560439795256,0.007566722109913826,3.03430746105394,3,0.0010208428135490186,64,1047,204,129,216,127
21,10,1053.4552590847015,00:17:33,100772,1052,0.006454438902437687,0.007932613603770733,3.0940329505251194,3,0.0011350707770748374,32,1057,203,136,216,101
22,10,452.07152819633484,00:07:32,105671,854,0.006095534656196833,0.007449077907949686,2.9166578994171815,2,0.0007012404463691618,66,854,232,198,175
23,10,327.8310935497284,00:05:27,106895,763,0.005972431506961584,0.007460694760084152,2.962163532402088,2,0.0005781037924317737,99,834,234,201,172
24,10,308.7604205608368,00:05:08,104457,814,0.006085241213440895,0.007513075601309538,3.0621422287749427,2,0.0004139264713014401,105,826,232,200,165
25,10,152.53008890151978,00:02:32,97403,499,0.008761324919760227,0.009784439578652382,3.3554192964834186,2,0.0002000617209975928,161,522,242,199,117
26,10,306.0906491279602,00:05:06,110563,861,0.005703536327928305,0.007445183116942644,2.9152559447106032,2,0.0007130964235878668,121,887,254,205,152
27,10,413.8423662185669,00:06:53,104083,1208,0.005814661271870136,0.007505947258323431,3.310232360951648,2,0.0014170317514568046,124,1226,254,221,94
28,10,408.4182550907135,00:06:48,114698,823,0.006046908441931009,0.007449517957866192,3.0189606668630145,2,0.0007832263531089997,78,888,212,252,152
29,10,199.80621218681335,00:03:19,73043,650,0.008293936029076576,0.009452677331864834,3.3451107563389453,2,0.00033074431180736856,156,670,87,227,191
30,10,208.59522414207458,00:03:28,67993,513,0.008971503004431725,0.009633427485823631,3.3909218562059498,1,0.0026199544885986766,122,630,235,182
31,10,327.09773540496826,00:05:27,110393,756,0.00611801678314805,0.00724753737449646,2.969125301204901,2,0.0006479544180471222,97,824,232,207,180
32,10,440.25565576553345,00:07:20,88533,748,0.006021413486450911,0.007432342506945133,2.9889506283343072,2,0.0004497902058903029,63,809,255,151,150
33,10,304.093692779541,00:05:04,102914,942,0.006485347636044025,0.007910204119980335,3.331158158591835,2,0.0002718368283876797,135,969,240,186,174
34,10,153.86693453788757,00:02:33,74615,350,0.00905222725123167,0.009328876622021198,3.3578667810200056,1,0.0014523818785597102,90,370,220,231
35,10,455.84272050857544,00:07:35,94796,841,0.006091357674449682,0.00751899741590023,2.9997507386882405,2,0.000616085783201618,72,930,163,210,203
36,10,488.93795228004456,00:08:08,70935,692,0.007155751809477806,0.008326643146574497,3.217432356684539,1,0.0008565531938813602,52,781,241,187
37,10,208.5151982307434,00:03:28,67719,501,0.008526818826794624,0.009539790451526642,3.278868038852631,2,0.00024294287114431018,121,603,205,148,104
38,10,456.83996772766113,00:07:36,73243,1227,0.006301594898104668,0.0077616870403289795,2.994871820169986,1,0.0003740364762593172,102,1252,256,179
39,10,194.98175597190857,00:03:14,42731,706,0.00829510297626257,0.008623342961072922,3.089295047506267,2,0.0013479317993133817,187,742,117,115,143
40,10,305.3375725746155,00:05:05,78246,983,0.007228675298392773,0.008452244102954865,3.2175958331751913,3,0.0028259903288840723,146,991,162,238,80,40
41,10,332.0117897987366,00:05:32,109928,806,0.006033653859049082,0.00726778618991375,2.896459723908282,2,0.0005662432199549177,99,860,232,210,172
