trial,fold,elapsed_time_sec,elapsed_time_hms,param_count,best_epoch,train_loss,val_loss,score,n_layers,learning_rate,batch_size,epochs,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5
56,2,724.6063916683197,00:12:04,72796,1281,0.006069987080991268,0.008674976415932178,3.552513765879742,4,0.0003664308203642888,71,1353,93,47,186,156,129
57,2,857.772180557251,00:14:17,33752,1395,0.007979135029017925,0.010537566617131233,3.331861973201161,2,0.00014501972263601955,50,1446,166,86,22
58,2,526.91486120224,00:08:46,73353,1222,0.00573146203532815,0.008117251098155975,2.9814312535627705,3,0.0005150502784502118,95,1308,126,197,89,190
59,2,328.7166802883148,00:05:28,136410,583,0.006608385592699051,0.008495154790580273,3.025121399712812,4,0.00030090982729726664,80,626,195,154,166,167,189
60,2,614.279144525528,00:10:14,125818,1121,0.006512496154755354,0.008745837956666946,3.0228682094539874,3,0.0018538840924673592,63,1139,137,256,235,66
61,2,1041.842699289322,00:17:21,74149,1404,0.004950793460011482,0.007666869554668665,2.9335468459270904,3,0.0003886904729717032,48,1488,129,187,133,83
62,2,1040.0806694030762,00:17:20,77925,1358,0.005364648066461086,0.008297150023281574,2.9665368799080607,3,0.00023697027626077432,42,1396,115,222,152,40
63,2,858.6123046875,00:14:18,78789,1165,0.005426998250186443,0.008122045546770096,2.9447506830556787,3,0.0006200385906749822,53,1415,123,211,120,116
64,2,941.1511907577515,00:15:41,85349,1212,0.0053673856891691685,0.0077659026719629765,2.8494119306903896,2,0.00043370640754882586,39,1257,176,236,105
65,2,1065.9388976097107,00:17:45,111947,1141,0.015488343313336372,0.015098060481250286,4.440323090799327,2,0.006923308545829956,36,1262,254,236,105
66,2,622.6117527484894,00:10:22,80747,1240,0.006070291623473167,0.008458913303911686,3.066303059557824,2,0.0002060340133653975,64,1242,174,249,75
67,2,877.8491258621216,00:14:37,100228,1080,0.005307559855282307,0.0077051944099366665,2.886882942524699,2,0.0004543101261644736,40,1191,193,236,143
68,2,719.1314623355865,00:11:59,95201,1283,0.0051245237700641155,0.007521818857640028,2.7411091111632793,2,0.0004468836687762983,58,1326,211,237,95
69,2,573.5451560020447,00:09:33,70457,1139,0.006688240449875593,0.008408647030591965,3.0072168114460354,1,0.0008439468985594814,58,1146,207,232
70,2,1008.1267473697662,00:16:48,137122,1143,0.005032028071582317,0.007649207953363657,2.939518542320643,4,0.00045664974712612464,39,1195,242,238,56,256,100
71,2,586.6631560325623,00:09:46,99771,1286,0.005229680333286524,0.007606173865497112,2.789992291936267,2,0.0007009417488718973,77,1318,211,247,101
72,2,572.4781386852264,00:09:32,99560,1280,0.005276678595691919,0.00780639611184597,2.9706067985249525,2,0.0006970086164853278,76,1281,212,246,100
73,2,863.0574164390564,00:14:23,106925,1027,0.005297659896314144,0.007593652233481407,2.8719426625572213,2,0.0005517089793500726,47,1322,234,251,92
74,2,866.2562029361725,00:14:26,106043,1231,0.005244196392595768,0.0076051815412938595,2.802302037658573,2,0.000580991692655523,46,1303,236,250,87
75,2,829.1575665473938,00:13:49,105735,1289,0.005111724603921175,0.007605946157127619,2.8559310350799416,2,0.0006048292707690446,48,1322,236,253,82
76,2,780.9317896366119,00:13:00,105755,1214,0.005583194550126791,0.007832254283130169,2.9764482181551966,2,0.0008985295779267139,54,1381,235,255,81
77,2,772.3753645420074,00:12:52,99975,1318,0.005395813379436731,0.007516312412917614,2.8174993194583826,2,0.0006436960919361172,58,1428,244,244,59
79,2,501.4676685333252,00:08:21,99039,1426,0.0056498548947274685,0.007679365575313568,3.1792062073403695,2,0.001170087270848468,128,1433,244,245,54
80,2,877.7216746807098,00:14:37,88705,1342,0.005275086499750614,0.007126954849809408,2.86672882820917,2,0.0008038771935912948,60,1473,218,227,70
81,2,453.9611053466797,00:07:33,101171,1331,0.004943569656461477,0.007376681547611952,2.919266479594203,2,0.0006123553525720777,148,1363,226,249,83
82,2,858.9787135124207,00:14:18,87608,1391,0.005264486186206341,0.007562245707958937,3.0094619068739643,2,0.0007801859919541177,63,1474,218,228,64
83,2,866.7950718402863,00:14:26,90701,1412,0.005039537325501442,0.007175944745540619,2.8714572080853564,2,0.000647093003038721,59,1434,229,241,46
84,2,660.0451138019562,00:11:00,98804,1289,0.0055229514837265015,0.007671373430639505,3.0077081061746664,2,0.001101986999230736,74,1311,248,226,72
